Date,Company/Brand,Founded,HeadQuarter,Founders,Investor,Amount($),Stage,Year,Sector,NumFounders,total_investors
2020-12-30,Altor,2016,Bangalore,"['Shamik Guha', ' Sayan Tapadar', ' Muhammad Bilal Shakil', ' Anirban Datta Gupta']",Venture Catalysts,3000000.0,Series A,2020,Technology,4,1
2020-12-30,Entri,2017,Kochi,"['Mohammed Hisamuddin', ' Rahul Ramesh']",Good Capital,1400000.0,Seed Round,2020,Education,2,1
2020-12-30,Yolo,2019,Gurugram,"['Shailesh Gupta', ' Mukul Shah', ' Danish Chopra']",Undisclosed,600000.0,Seed funding,2020,Logistics,3,1
2020-12-31,Axio Biosolutions,2016,Bangalore,['Leo Mavely'],Omidyar Network India,5200000.0,Series B,2020,Technology,1,1
2020-12-31,Blackbuck,2015,Bangalore,['Rajesh Yabaji'],Trifecta Venture,3000000.0,Series A,2020,Logistics,1,1
2020-12-31,Chingari,2016,Bangalore,['Sumit Ghosh'],"LogX Ventures, AngelList’s Utsav Somani, NowFloats’ Jasminder Singh Gulati, AL Trust (Vistra ITCL), Village Global.",1000000.0,Seed Round,2020,Media/Entertainment,1,5
2020-12-31,Spinny,2015,Haryana,"['Niraj Singh', ' Mohit Gupta', ' Ramanshu Mahuar']","Nandan Nilekani, Sanjeev Aggarwal",43700000.0,Series B,2020,Other,3,2
2020-12-31,MPowered,2016,Gurugram,['Sudeep Singh'],"Ashok Nichani, Shelly Nichani",21000000.0,Pre-series A,2020,Technology,1,2
2021-01-01,Zotalabs,2019,Pune,"['Nausherwan Shah', ' Wasim Khan']",Alfa Ventures,1250000.0,Seed,2021,Technology,2,1
2021-01-01,Indi Energy,2019,Roorkee,['Dr. ASIT SAHOO'],Mumbai Angels Network,169032154.0,Seed,2021,Energy,1,1
2021-01-01,Newton School,2019,Bangalore,"['Nishant Chandra', ' Siddharth Maheshwari']","RTP Global, Harshil Mathur",5000000.0,Series A,2021,Education,2,2
2021-01-02,MedPrime Technologies,2014,Thane,"['Samrat', ' Greeshma Unnikrishnan', ' Binil Jacob', ' Mahesh Kumar Rathor']","Mumbai Angels Network, Social Alpha",169032154.0,Seed,2021,Automotive,4,2
2021-01-03,Oliveboard,2012,Bangalore,"['Abhishek Patil', ' V Satish Kumar']",IAN Fund,3000000.0,Seed,2021,Education,2,1
2021-01-03,Gobbly,2019,Gurugram,"['Ankur Agarwal', ' Amit Ahuja']","Anicut Angel Fund, Sauce.VC",900000.0,Pre-series A,2021,Consumer Services,2,2
2021-01-03,Five Star Finance,1984,Chennai,['V K Ranganathan'],"TPG Capital Asia, Epiq Capital",234000000.0,Seed,2021,FinTech,1,2
2021-01-03,Nazara Technologies,2000,Mumbai,['Nitish Mittersain'],"Hornbill Capital Advisers, Plutus Wealth Management",30000000.0,Seed,2021,Gaming,1,2
2021-01-03,Vitra.ai,2020,Bangalore,['Akash Nidhi PS'],Inflexor Ventures,169032154.0,Seed,2021,Technology,1,1
2021-01-03,PayCardo,2021,Pune,"['Vivek Kumar Choubey', ' Vivek Kumar']",MaGEHold,169032154.0,Pre-seed,2021,Finance,2,1
2021-01-03,Progcap,2017,Delhi,"['Pallavi Shrivastava', ' Himanshu Chandra']","Somak Ghosh, M V Nair",1000000.0,Debt,2021,FinTech,2,2
2021-01-03,Furlenco,2012,Bangalore,['Ajith Karimpana'],BlackSoil Capital,2000000.0,Seed,2021,Real Estate,1,1
2021-01-04,CommerceUp,2018,Gurugram,['Piyush Pathak'],NB Ventures,169032154.0,Seed,2021,Technology,1,1
2021-01-04,Avanti Finance,2017,Bangalore,"['Nandan Nilekani', ' Vijay Kelkar']","Oikocredit, Nomura, The Bill & Melinda Gates Foundation",15000000.0,Series A2,2021,Finance,2,3
2021-01-04,CashBook,2020,Gurugram,"['Vivek', ' Ashutosh Pathak']","JAM, Better Tomorrow Ventures",2300000.0,Seed,2021,FinTech,2,2
2021-01-04,ASQI Advisors,2019,Mumbai,['Swapnil Pawar'],Founders Room Capital,1000000.0,Pre-series A,2021,Finance,1,1
2021-01-04,Livve Homes,2017,Bangalore,['Maya Lakshman'],Angel investors,5000000.0,Seed,2021,Logistics,1,1
2021-01-05,YAP,2014,Chennai,"['Madhusudanan R', ' Prabhu R']","Jitendra Gupta, Better Capital",10000000.0,Series B,2021,FinTech,2,2
2021-01-05,Totality,2017,Gurugram,['Anshul Rustaggi'],"Leo Capital, Mayfield Fund",1000000.0,Seed,2021,Media/Entertainment,1,2
2021-01-05,Unacademy,2015,Bangalore,"['Gaurav Munjal', ' Hemesh Singh', ' Roman Saini']",Bhavin Turakhia,169032154.0,Seed,2021,Education,3,1
2021-01-06,Polygon,2017,Mumbai,"['Jaynti Kanani', ' Sandeep Nailwal', ' Anurag Arjun']","Mark Cuban, MiH Ventures",169032154.0,Seed,2021,FinTech,3,2
2021-01-08,Atomberg Technologies,2012,Mumbai,"['Manoj Meena', ' Sibabrata Das']",Ka Enterprises,169032154.0,Seed,2021,Consumer Services,2,1
2021-01-08,Dropshop,2019,Bangalore,"['Udit Dhawan', ' Rohit Fernandes', ' Ravi Teja']",Inflection Point Ventures,1000000.0,Pre-series A,2021,Logistics,3,1
2021-01-08,BatteryPool,2018,Pune,['Ashwin Shankar'],IAN,169032154.0,Seed,2021,Automotive,1,1
2021-01-09,Stylework,2017,Gurugram,['Sparsh Khandelwal'],Inflection Point Ventures,500000.0,Pre-series A,2021,Other,1,1
2021-01-09,Avishkaar,2014,Delhi,"['Rajeev Gaba', ' Tarun Bhalla']",Auxano,600000.0,Pre-series A,2021,Education,2,1
2021-01-09,Gumlet,2019,Bangalore,"['Divyesh Patel', ' Aditya Patadia']",Sequoia’s Surge,1600000.0,Seed,2021,Technology,2,1
2021-01-10,SecureNow,2011,Gurugram,"['Kapil Mehta', ' Abhishek Bondia']",Apis Insurtech Fund I,6000000.0,Series B,2021,Finance,2,1
2021-01-10,Pathfndr.io,2015,Bangalore,['Varun Gupta'],Arali Ventures,169032154.0,Pre-series A,2021,Technology,1,1
2021-01-10,Wiggles.in,2018,Pune,['Anushka Iyer'],Anthill Ventures,5500000.0,Pre-series A,2021,Healthcare,1,1
2021-01-11,Legalwiz.in,2015,Ahmedabad,"['Shrijay Sheth', ' Gaurav Barot']",ContCentric,500000.0,Seed,2021,Other,2,1
2021-01-11,LenDenClub,2015,Mumbai,"['Bhavin Patel', ' Dipesh Karki']","Tuscan Ventures, Ohm Stock Brokers, Artha Venture Fund",10000000.0,Series A,2021,Finance,2,3
2021-01-11,India Quotient,2012,Mumbai,"['Anand Lunia', ' Madhukar Sinha']",Inflection Point Ventures,64000000.0,Seed,2021,Finance,2,1
2021-01-11,CRED,2018,Bangalore,['Kunal Shah'],"Tiger Global, Falcon Edge",250000000.0,Series E,2021,Finance,1,2
2021-01-11,Disruptium,2021,Ahmadabad,"['Yash Shah', ' Kapil Mathrani', ' Ishit Desai']",Pravesh Mehta,200000.0,Seed,2021,Consumer Services,3,1
2021-01-11,6Degree,2014,Mumbai,"['Amit Bhardwaj', ' Nikhil Hegde']","Keiretsu Forum, SucSEED Venture Partners",1000000.0,Seed,2021,Consumer Services,2,2
2021-01-12,Elucidata,2015,Delhi,"['Abhishek Jha', ' Richard Kibbey', ' Swetabh Pathak']",Hyperplane Venture Capital,5000000.0,Pre-series A,2021,Technology,3,1
2021-01-12,Ruptok,2020,Delhi,"['Ankur Gupta', ' Akshita Gupta', ' Yashwardhan Aeren']",Wurk,10000000.0,Seed,2021,FinTech,3,1
2021-01-13,CoffeeMug.ai,2020,Delhi,"['Abhishek Sharma', ' Dipti Tandon']","Paradigm Shift Capital, AngelList India",620000.0,Pre-seed,2021,Technology,2,2
2021-01-14,Spinny,2015,Gurugram,"['Mohit Gupta', ' Niraj Singh', ' Ramanshu Mahaur']","Arena Holdings, Think Investments",65000000.0,Series C,2021,Consumer Services,3,2
2021-01-14,Digit Insurance,2016,Bangalore,['Kamesh Goyal'],"Faering Capital, Sequoia Capital India, IIFL Alternate Asset Managers",200000000.0,Seed,2021,Other,1,3
2021-01-14,M2P Fintech,2015,Chennai,['Madhusudanan R'],Tiger Global,35000000.0,Series C,2021,Finance,1,1
2021-01-14,BookingJini,2017,Gurugram,"['Deepak Dash', ' Gourab Kumar Nandy', ' Manoj Pandia', ' Sibasish Mishra']",Mumbai Angels Network,1200000.0,Pre-series A,2021,Hospitality,4,1
2021-01-14,Anveshan,2019,Bangalore,"['Aayushi Khandelwal', ' Akhil Kansal', ' Kuldeep Parewa']","DSG Consumer Partners, Titan Capital",500000.0,Seed,2021,Consumables,3,2
2021-01-14,ChefKart,2020,Gurugram,"['Vaibhav Gupta', ' Arpit Gupta', ' Aman Gupta']","Lead Angels, Titan Capital, Pravega Ventures",300000.0,Pre-seed,2021,Consumer Services,3,3
2021-01-14,Vanity Wagon,2018,Haryana,['Prateek Ruhail'],"Dhianu Das, Agility Venture Partners",200000.0,Seed,2021,Wellness/Beauty,1,2
2021-01-14,Neverinstall,2019,Bangalore,"['Lakshmana Pasala', ' Ram Pasala']",Speciale Invest,370000.0,Seed,2021,Technology,2,1
2021-01-15,Tekie,2017,Gurugram,"['Anand Verma', ' Naman Mukund']","GSV, Multiply Ventures",1500000.0,Seed,2021,Education,2,2
2021-01-15,Arcatron Mobility,2015,Pune,['Ganesh Sonawane'],Klub,169032154.0,Seed,2021,Automotive,1,1
2021-01-16,Lohum,2017,Noida,['Rajat Verma'],"Baring Private Equity Partners India, Talbros",7000000.0,Seed,2021,Energy,1,2
2021-01-16,Lenskart,2010,Haryana,"['Amit Chaudhary', ' Peyush Bansal']","Kohlberg Kravis Roberts, Temasek Holdings",95000000.0,Seed,2021,Lifestyle,2,2
2021-01-16,Fullife Healthcare,2009,Bangalore,['Morgan Stanley Private Equity Asia'],,22000000.0,Seed,2021,Manufacture,1,1
2021-01-16,Aerchain,2019,Bangalore,"['Harsha Kadimisetty', ' Himavanth Jasti']","Season Two Ventures, IndiaMart",3000000.0,Pre-series A,2021,Technology,2,2
2021-01-16,Nazara Technologies,2000,Mumbai,['Nitish Mittersain'],"Plutus Wealth Management, Turtle Entertainment",10000000.0,Seed,2021,Gaming,1,2
2021-01-17,BHyve,2020,Mumbai,['Backed by 100x.VC'],"Omkar Pandharkame, Ketaki Ogale",300000.0,,2021,Other,1,2
2021-01-17,TrulyMadly,2013,Delhi,"['Hitesh Dhingra', ' Rahul Kumar', ' Sachin Bhatia']","Gaurav Munjal, Snehil Khanor",2000000.0,Pre-series A,2021,Lifestyle,3,2
2021-01-18,SimpliContract,2020,Bangalore,"['Guru Venkatesan', ' Jinaraj PG', ' Makesh Kumar']",Kalaari Capital,1800000.0,Seed,2021,Technology,3,1
2021-01-18,Nestasia,2018,Kolkata,"['Aditi Murarka Agrawal', ' Anurag Agrawal']","Varun Alagh, Sahil Barua",4000000.0,Series A,2021,Consumer Services,2,2
2021-01-18,Whiz League,2020,Delhi,"['Natasha Jain', ' Sonia Agarwal Bajaj']",ITI Growth Opportunities,300000.0,Seed,2021,Education,2,1
2021-01-19,GuardianLink,2017,Chennai,"['Ramkumar Subramaniam', ' Kamesh Elangovan']",Kalaari Capital,12000000.0,Series A,2021,Technology,2,1
2021-01-19,CareerNinja,2017,Mumbai,['Shronit Ladhaniai'],Unitus Ventures,169032154.0,Seed,2021,Education,1,1
2021-01-19,Mynvax,2017,Bangalore,"['Dr Raghavan Varadarajan', ' Dr Gautham Nadig']","Accel, LetsVenture, 1Crowd",4000000.0,Series A,2021,Healthcare,2,3
2021-01-19,Meesho,2015,Bangalore,"['Sanjeev Barnwal', ' Vidit Aatrey']","Fidelity, B Capital",570000000.0,Seed,2021,Other,2,2
2021-01-20,Northern Arc,2008,Chennai,['Kshama Fernandes'],"Asian Development Bank, U.S. International Development Finance Corp",50000000.0,Debt,2021,FinTech,1,2
2021-01-21,The Whole Truth,2019,Mumbai,['Shashank Mehta'],Sequoia Capital,6000000.0,Series A,2021,Consumables,1,1
2021-01-21,Euler Motors,2018,Delhi,['Saurav Kumar'],"ADB Ventures, Jetty Ventures",2600000.0,Series A,2021,Automotive,1,2
2021-01-21,Pankhuri,2019,Bangalore,['Pankhuri Shrivastava'],Sequoia’s Surge,3200000.0,Seed,2021,Other,1,1
2021-01-22,Leap India,2013,Mumbai,['Anurag Malempati'],CDC Group,10000000.0,Seed,2021,Logistics,1,1
2021-01-23,Bambinos,2020,Bangalore,"['Ashish Gupta', ' Ankit Hetamsaria']","HNIs, Angels",500000.0,Seed,2021,Education,2,2
2021-01-23,Petpooja,2011,Ahmedabad,"['Apurv Patel', ' Parthiv Patel']","Aroa Ventures, GVFL, Udaan",4500000.0,Seed,2021,Technology,2,3
2021-01-24,Meddo,2018,Gurugram,['Saurabh Kochhar'],"growX ventures, Venture Gurukool",3000000.0,Pre-series A,2021,Automotive,1,2
2021-01-25,FypMoney,2021,Gurugram,['Kapil Banwari'],"Liberatha Kallat, Mukesh Yadav, Dinesh Nagpal",2000000.0,Seed,2021,FinTech,1,3
2021-01-25,MFine,2017,Bangalore,"['Ajit Narayanan', ' Ashutosh Lawania', ' Prasad Kompalli']","Blockchain Capital, SBI Ven Capital",16000000.0,Seed,2021,Automotive,3,2
2021-01-25,Klub,2019,Bangalore,"['Anurakt Jain', ' Ishita Verma']",Trifecta Capital,2000000.0,Debt,2021,Finance,2,1
2021-01-25,Cusmat,2016,Hyderabad,"['Abhinav Ayan', ' Anirban Jyoti Chakravorty']",We Founder Circle,100000.0,Pre-series A,2021,Technology,2,1
2021-01-25,Lenskart,2008,Faridabad,['Peyush Bansal'],"Temasek, Falcon Edge",220000000.0,Seed,2021,Lifestyle,1,2
2021-01-26,Eggoz,2017,Gurugram,"['Abhishek Negi', ' Uttam Kumar', ' Aditya Singh', ' Pankaj Pandey']","Nabventures, Avaana Capital",3500000.0,Series A,2021,Consumables,4,2
2021-01-27,Cora Health,2020,Bangalore,"['Shrijit Venkatesh', ' Snigdha Kumar']",Inflection Point Ventures,169032154.0,Seed,2021,Automotive,2,1
2021-01-27,LearnVern,2016,Ahmadabad,"['Niral Modi', ' Aditi Modi']",Inflection Point Ventures,1000000.0,Seed,2021,Education,2,1
2021-01-27,Sapio Analytics,2019,Mumbai,"['Hardik Somani', ' Ashwin Srivastava', ' Shripal Jain', ' Viral Vora']","Rachit Poddar, Rajesh Gupta",169032154.0,Seed,2021,Technology,4,2
2021-01-27,ParkSmart,2018,Delhi,"['Prateek Garg', ' Rahul Gupta', ' Ratan Anmol Sethi', ' Rishabh Nagpal', ' Vishva Sharma']","Shireen Rangaswamy, Dilesh Gathani",169032154.0,Seed,2021,Automotive,5,2
2021-01-27,Holisol,2009,Delhi,"['Manish Ahuja', ' Naveen Rawat', ' Rahul Dogar']","BlackSoil, CLSA Capital Partners",3000000.0,Seed,2021,Logistics,3,2
2021-01-28,Unbox Robotics,2019,Pune,"['Pramod Ghadge', ' Shahid Memon', ' Rohit Pitale']","3one4 Capital, Sixth Sense Ventures",7000000.0,Series A,2021,Logistics,3,2
2021-01-29,SalaryBox,2020,Gurugram,"['Nikhil Goel', ' Peeyush Goyal']","Y-Combinator, AME Cloud Ventures, Gokul Rajaram",4000000.0,Seed,2021,Finance,2,3
2021-01-29,Settl,2020,Bangalore,"['Abhishek Tripathi', ' Bharath Bhaskar', ' Ashok Reddy']","ah! Ventures, We Founder Circle",500000.0,Seed,2021,Real Estate,3,2
2021-01-30,Frenzi,2020,Mumbai,"['Balkrishna Singh', ' Harvinderjit Singh Bhatia']",SucSEED Indovation Fund,169032154.0,Seed,2021,Media/Entertainment,2,1
2021-01-30,PingoLearn,2021,Pune,"['Mohit Menghani', ' Shubham Maheshwari']","Titan Capital, Haresh Chawla, AngelList Syndicate",200000.0,Seed,2021,Other,2,3
2021-01-30,WeRize,2019,Bangalore,"['Vishal Chopra', ' Himanshu Gupta']","3one4 Capital, Kalaari Capital",8000000.0,Series A,2021,Finance,2,2
2021-01-31,Swiflearn,2019,Gurugram,"['Abhinav Agarwal', ' Anand Bakode']","Venture Highway, Stellaris Venture Partners",3000000.0,Pre-series A,2021,Education,2,2
2021-01-31,Yu Foodlabs,2020,Gurugram,"['Bharat Bhalla', ' Varun Kapur']","Manish Choksi, Varun Vakil",1000000.0,Pre-series A,2021,Consumables,2,2
2021-01-31,Zolve,2020,Bangalore,['Raghunandan G'],"Kunal Shah, Greg Kidd",15000000.0,Seed,2021,FinTech,1,2
2021-02-01,Dozee,2015,Bangalore,"['Mudit Dandwate', ' Dandwate']",Prime VP,5000000.0,Series A,2021,Automotive,2,1
2021-02-01,Ola Electric,2017,Bangalore,['Bhavish Aggarwal'],Bank of Baroda,100000000.0,Debt,2021,Automotive,1,1
2021-02-01,Insane AI,2021,Bangalore,"['Anurag Mundhada', ' Jayesh Hannurkar', ' Sourabh Agrawal']",pi Ventures,800000.0,Seed,2021,Wellness/Beauty,3,1
2021-02-02,Pocketly,2019,Bangalore,"['Aarav Bhatia', ' Navdeesh Ahuja']",Inflection Point Ventures,169032154.0,Seed,2021,FinTech,2,1
2021-02-02,Plix,2018,Mumbai,"['Rishubh Satiya', ' Akash Zaveri']","Guild Capital, RPSG Capital Ventures",5000000.0,Series A,2021,Wellness/Beauty,2,2
2021-02-02,ShareChat,2015,Bangalore,"['Ankush Sachdeva', ' Bhanu Pratap Singh', ' Farid Ahsan']","Twitter Ventures, Pawan Munjal",500000000.0,Seed,2021,Media/Entertainment,3,2
2021-02-03,Elda Health,2020,Bangalore,"['Swathi Kulkarni', ' Sindhuri Ananth', ' Shubham Sharma']","Avaana Capital, Orios Ventures",1500000.0,Seed,2021,Automotive,3,2
2021-02-03,PlanetSpark,2017,Gurugram,"['Maneesh Dhooper', ' Kunal Malik']","Binny Bansal, Deep Kalra, Dr Ashish Gupta, Gokul Rajaram, Shirish Nadkarni",13000000.0,Series B,2021,Education,2,5
2021-02-03,UpScalio,2021,Gurugram,['Gautam Kshatriya'],Inflection Point Ventures,42000000.0,Seed,2021,E-Commerce,1,1
2021-02-03,InfyU Labs,2019,Gandhinagar,"['Amit Srivastava', ' Ankit Chauhan']",IAN,200000.0,Seed,2021,Technology,2,1
2021-02-04,Breathe Well-being,2015,Delhi,"['Aditya Kaicker', ' Rohan Verma']","Stanford Angels and Entrepreneurs India, Anjali Bansal",1000000.0,Pre-series A,2021,Automotive,2,2
2021-02-04,The Money Club,2016,Noida,"['Manuraj Jain', ' Surajit Ra']","SOSV, Venture Catalysts",1700000.0,Pre-series A,2021,Finance,2,2
2021-02-04,Zypp Electric,2017,Gurugram,"['Akash Gupta', ' Rashi Agarwal']","9Unicorns, Anthill Ventures",7000000.0,Series A,2021,Logistics,2,2
2021-02-05,Inshorts,2013,Noida,['Azhar Iqubal'],Vy Capital,60000000.0,Seed,2021,Technology,1,1
2021-02-05,SMOOR,2008,Bangalore,['Vimal Sharma'],Klub,169032154.0,Seed,2021,Consumables,1,1
2021-02-05,Proeon,2018,Pune,"['Ashish Korde', ' Kevin Parekh']","Shaival Desai, Flowstate Ventures",2000000.0,Seed,2021,Consumables,2,2
2021-02-05,NephroPlus,2009,Hyderabad,['Vikram Vuppala'],IIFL Asset Management,24000000.0,Series E,2021,Automotive,1,1
2021-02-06,CoRover,2016,Bangalore,"['Ankush Sabharwal', ' Manav Gandotra', ' Kunal Bhakhri']",Canbank Venture Capital Fund,169032154.0,Seed,2021,Technology,3,1
2021-02-06,Advantage Club,2014,Gurugram,['Sourabh Deorah'],"Y Combinator, Jetty Ventures, Earlsfield Capital, SMC Advisors, Kunal Shah",3300000.0,Pre-series A,2021,Technology,1,5
2021-02-06,GalaxEye,2020,Chennai,"['Denil Chawda', ' Kishan Thakkar', ' Pranit Mehta', ' Satyanarayanan Chakravarthy', ' Suyash Singh']",Speciale Invest,169032154.0,Pre-seed,2021,Technology,5,1
2021-02-07,Edmingle,2016,Bangalore,['Gaurav Doshi'],"Indovation Fund, Mumbai Angels",300000.0,Seed,2021,Education,1,2
2021-02-07,CHUPPS,2016,Mumbai,"['Gaurav Agarwal', ' Yash Mukhi']",Venture Catalysts,1100000.0,Pre-series A,2021,Lifestyle,2,1
2021-02-07,TABLT,2018,Kolkata,['Anish Agarwal'],Siti Cable,3000000.0,Seies A,2021,Automotive,1,1
2021-02-08,The ePlane,2016,Chennai,"['Pranjal Mehta', ' Satyanarayanan Chakravarthy']","Speciale Invest, Farid Ahsan",1000000.0,Seed,2021,Technology,2,2
2021-02-08,FanPlay,2020,Bangalore,['YC W21'],"Pritesh Kumar, Bharat Gupta",1200000.0,,2021,Gaming,1,2
2021-02-08,Fantasy Akhada,2020,Gurugram,['Amit Purohit'],Harsha Bhogle,600000.0,Seed,2021,Other,1,1
2021-02-08,Minimalist,2020,Jaipur,"['Mohit', ' Rahul Yadav']",Sequoia Capital,10000000.0,Series A,2021,Wellness/Beauty,2,1
2021-02-08,HexaHealth,2019,Mumbai,"['Vikas Chauhan', ' Ankur Gigras', ' Dr Aman Priya Khanna']","Omidyar Network India, Chiratae Ventures",4500000.0,Seed,2021,Healthcare,3,2
2021-02-09,MediBuddy,2000,Bangalore,"['Satish Kannan', ' Enbasekar']","Stride Ventures, InnoVen Capital",3000000.0,Seed,2021,Automotive,2,2
2021-02-09,Enmovil,2015,Hyderabad,"['Ravi Bulusu', ' Nanda Kishore', ' Venkat Moganty']",Anicut Angel Fund,1300000.0,Pre-series A,2021,Technology,3,1
2021-02-10,Navia Life Care,2016,Delhi,"['Nupur Khandelwal', ' Kunal Kishore Dhawan', ' Gaurav Gupta']","Anicut Angel Fund, 9 Unicorns",1000000.0,Seed,2021,Automotive,3,2
2021-02-10,SATYA MicroCapital,2017,Delhi,['Vivek Tiwari'],"responsAbility Investments, Blue Orchard",10000000.0,Seed,2021,Finance,1,2
2021-02-11,SuperK,2019,Andhra Pradesh,['Neeraj Menta'],STRIVE VC,800000.0,Seed,2021,Consumer Services,1,1
2021-02-11,Imagimake,2011,Mumbai,"['Disha Katharani', ' Ravi Kumar']","Roha Investment Managers, angel investor Saumil Shah",500000.0,Pre-series A,2021,Technology,2,2
2021-02-11,Sporjo,2020,Mumbai,['G Srinivvasan'],Punit Balan,2000000.0,Seed,2021,Gaming,1,1
2021-02-11,Neobank Jupiter,2019,Mumbai,['Jitendra Gupta'],"Tiger Global, Sequoia Capital",86000000.0,Series C,2021,Finance,1,2
2021-02-12,Coutloot,2016,Mumbai,"['Mahima Kaul', ' Jasmeet Thind']","Ameba Capital, 9Unicorns",8000000.0,Pre-series,2021,Consumer Services,2,2
2021-02-12,Celcius,2020,Mumbai,['Swarup Bose'],"Mumbai Angels Network, Huddle, Lumis Partners",500000.0,Seed,2021,Logistics,1,3
2021-02-12,Teachmint,2020,Bangalore,"['Mihir Gupta', ' Payoj Jain', ' Divyansh Bordia', ' Anshuman Kumar']",Learn Capital,20000000.0,Pre-series B,2021,Education,4,1
2021-02-12,Pine Labs,1998,Noida,['Amrish Rau'],"Fidelity, BlackRock",600000.0,Seed,2021,Technology,1,2
2021-02-12,Yellow Class,2020,Gurugram,"['Anshul Gupta', ' Arpit Mittal']",Elevation Capital,6000000.0,Seed,2021,Education,2,1
2021-02-13,I am Love,2020,Mumbai,['Shilpa Rathi'],Xentel Investments,4000000.0,Seed,2021,Automotive,1,1
2021-02-13,Unacademy,2015,Bangalore,"['Gaurav Munjal', ' Hemesh Singh', ' Roman Saini', ' Sachin Gupta']","Tiger Global, Dragoneer Investment Group, Steadview Capital, General Atlantic",50000000.0,Seed,2021,Education,4,4
2021-02-14,upGrad,2015,Mumbai,"['Mayank Kumar', ' Phalgun Kompalli', ' Ravijot Chugh', ' Ronnie Screwvala']","Unilazer Ventures, IIFL Asset Management",120000000.0,Seed,2021,Education,4,2
2021-02-14,Beldara,2018,Mumbai,['Bhagwan (Pradeep) Khandekar'],Hindustan Media Ventures,7400000.0,Seed,2021,E-Commerce,1,1
2021-02-14,Infra.Market,2016,Thane,"['Aaditya Sharda', ' Souvik Sengupta']","InnoVen Capital, Nexus Venture Partners",100000000.0,Series C,2021,Real Estate,2,2
2021-02-15,Elixia Tech Solutions,2011,Mumbai,['Sanket Sheth'],Rajasthan Venture Capital Fund,1000000.0,Pre-series A,2021,Technology,1,1
2021-02-15,Urban Company,2014,Delhi,"['Abhiraj Singh Bhal', ' Raghav Chandra', ' Varun Khaitan']","Vy Capital, Wellington Management",250000000.0,Series F,2021,Other,3,2
2021-02-16,HobSpace,2019,Mumbai,"['Priya Goel Sheth', ' Harsh Jain']","Siddharth Bhaskar Shah, Upsparks",100000.0,Pre-series A1,2021,Education,2,2
2021-02-16,NODWIN,2012,Gurugram,['Gautam Virk'],Krafton,20000000.0,Seed,2021,Gaming,1,1
2021-02-16,Clear,2011,Bangalore,"['Archit Gupta', ' Srivatsan Chari']","Kora Capital, Stripe, Alua Capital",75000000.0,Series C,2021,Technology,2,3
2021-02-16,Faarms,2020,Bangalore,"['Taranbir Singh', ' Alok Duggal']",Inflection Point Ventures,2000000.0,Seed,2021,Technology,2,1
2021-02-16,YourPhysio,2020,Nagpur,"['Dr Sheetal Mundhada', ' Ashutosh Mundhada']","Better Capital, Titan Capital",350000.0,Pre-seed,2021,Healthcare,2,2
2021-02-18,True Balance,2014,Gurugram,"['Cheolwon Lee', ' Jay Yi', ' Martin Lee']","Bon Angels Venture Partners, Daesung Private Equity",10000000.0,Debt,2021,FinTech,3,2
2021-02-18,Fable Fintech,2015,Mumbai,['Naushad Contractor'],Paytm,169032154.0,Series A,2021,FinTech,1,1
2021-02-18,Zetwerk,2018,Bangalore,"['Srinath Ramakkrushnan', ' Amrit Acharya']",Inflection Point Ventures,150000000.0,Series E,2021,Automotive,2,1
2021-02-19,Mohalla Tech,2015,Bangalore,"['Ankush Sachdeva', ' Bhanu Pratap Singh']",Alkeon Capital,266000000.0,Series G,2021,Other,2,1
2021-02-19,Swajal,2015,Gurugram,"['Advait Kumar', ' Vibha Tripathi']","Rajasthan Venture Capital Fund, ACPL Exports",1600000.0,Pre-series A,2021,Energy,2,2
2021-02-20,Greenjoules,2018,Pune,"['R. Sethunath', ' V S Shridhar', ' V. Radhika', ' Viraraghavan Sankaran']",Blue Ashva Capital,4500000.0,Series A,2021,Energy,4,1
2021-02-20,Pee Safe,2013,Gurugram,"['Dheeraj Jain', ' Srijana Bagaria', ' Vikas Bagaria']","Shaival Desai, Alkemi Venture Partners",3000000.0,Pre-series B,2021,Automotive,3,2
2021-02-20,Playto Labs,2021,Bangalore,['Pavan Ponnaganti'],Inflection Point Ventures,500000.0,Seed,2021,Other,1,1
2021-02-20,Ingenium,2018,Delhi,"['Pramudit Somvanshi', ' Mohit Patel', ' Aakash Gupta']",Lead Angels,169032154.0,Seed,2021,Education,3,1
2021-02-21,PlayShifu,2016,Bangalore,"['Dinesh Advani', ' Vivek Goyal']","Chiratae Ventures, Bharat Innovation Fund",17000000.0,Series B,2021,Education,2,2
2021-02-22,Apnaklub,2020,Bangalore,"['Shruti', ' Manish Kumar']",Sequoia’s Surge,3500000.0,Seed,2021,Consumer Services,2,1
2021-02-22,Onsurity,2020,Bangalore,"['Kulin Shah', ' Yogesh Agarwal']","Jitendra Gupta, Harsh Shah",169032154.0,Seed,2021,Automotive,2,2
2021-02-22,Northern Arc,2008,Chennai,['Kshama Fernandes'],"U.S. International Development Finance Corp, Asian Development Bank",10000000.0,Debt,2021,FinTech,1,2
2021-02-22,Safexpay,2017,Thane,['Ravi Gupta'],"T Choithrams BVI, Ardor",6000000.0,Seed,2021,FinTech,1,2
2021-02-22,Expertrons,2019,Mumbai,"['Jatin Solanki', ' Vivek Gupta']","Kunal Shah, Anant Maheshwari",169032154.0,Seed,2021,Other,2,2
